###########################################################################################################################################################

        learning rate vit: 0.0001, learning rate mlp: 0.0001, lr_sched: True, mlp_hidden_sizes: [1024, 512, 256], jump_frames: 2, use_reconstruction_layer: True
        batch_size: 16, norm: True, train_seqeunces: [0], val_sequences: [0], dataset: Stereo,
        average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, deepF_nocorrs: False,
        SVD coeff: 0, RE1 coeff: 0 SED coeff: 0.01, ALG_COEFF: 0, unforzen layers: 0, group conv: False
        crop: 224 resize: 256, use conv: True pretrained: None 

algebraic_truth: 0.024857250570553786		 val_algebraic_truth: 0.02541717540386111
             Algebraic dist: 26.697245636878655		 Val Algebraic dist: 26.872598337572676
             Algebraic sqr dist: 1482.8087536549708	  Val Algebraic sqr dist: 1296.3159520348838
             RE1 dist: 741.4043768274854		 Val RE1 dist: 648.1579760174419
             SED dist: 6.109998914930555		 Val SED dist: 5.731345952943314

Epoch 39/1500: Training Loss: 0.06165586438095361		 Val Loss: 0.05738856626111408
             Training MAE: 0.036229733377695084		 Val MAE: 0.036556176841259
             Algebraic dist: 25.57224278143275		 Val Algebraic dist: 25.21363156340843
             Algebraic sqr dist: 1346.860654239766	  Val Algebraic sqr dist: 1399.5360646802326
             RE1 dist: 673.430327119883		 Val RE1 dist: 699.7680323401163
             SED dist: 5.642032020970395		 Val SED dist: 5.219479583030523

Epoch 40/1500: Training Loss: 0.06481157269394189		 Val Loss: 0.05763653267261594
             Training MAE: 0.035707131028175354		 Val MAE: 0.03766265884041786
             Algebraic dist: 26.285290455957604		 Val Algebraic dist: 25.209384652071222
             Algebraic sqr dist: 1443.9894919590643	  Val Algebraic sqr dist: 1438.3821765988373
             RE1 dist: 721.9947459795321		 Val RE1 dist: 719.1910882994187
             SED dist: 5.9689852173565425		 Val SED dist: 5.217916089434956

Epoch 41/1500: Training Loss: 0.06491659956368787		 Val Loss: 0.06443567054216252
             Training MAE: 0.03610103577375412		 Val MAE: 0.03630046173930168
             Algebraic dist: 26.027857730263158		 Val Algebraic dist: 26.232878928960755
             Algebraic sqr dist: 1410.8167032163742	  Val Algebraic sqr dist: 1292.4565770348838
             RE1 dist: 705.4083516081871		 Val RE1 dist: 646.2282885174419
             SED dist: 5.977661846673977		 Val SED dist: 5.916984735533249

Epoch 42/1500: Training Loss: 0.0620898865816886		 Val Loss: 0.05991501031919967
             Training MAE: 0.03602583706378937		 Val MAE: 0.03574112057685852
             Algebraic dist: 25.015076754385966		 Val Algebraic dist: 25.187823628270348
             Algebraic sqr dist: 1289.092288011696	  Val Algebraic sqr dist: 1441.664789244186
             RE1 dist: 644.546144005848		 Val RE1 dist: 720.832394622093
             SED dist: 5.697415892840826		 Val SED dist: 5.491846128951671

Epoch 43/1500: Training Loss: 0.05945582696568896		 Val Loss: 0.05470533703648767
             Training MAE: 0.03619597479701042		 Val MAE: 0.039328522980213165
             Algebraic dist: 24.368977864583332		 Val Algebraic dist: 23.97161155523256
             Algebraic sqr dist: 1267.8101242690059	  Val Algebraic sqr dist: 1258.391715116279
             RE1 dist: 633.9051078216374		 Val RE1 dist: 629.1958575581396
             SED dist: 5.43825348078856		 Val SED dist: 4.934354560319767

Epoch 44/1500: Training Loss: 0.06114171122946934		 Val Loss: 0.0617607360662416
             Training MAE: 0.036361388862133026		 Val MAE: 0.03732164204120636
             Algebraic dist: 24.461568553545323		 Val Algebraic dist: 25.40410667242006
             Algebraic sqr dist: 1276.858552631579	  Val Algebraic sqr dist: 1209.5361555232557
             RE1 dist: 638.4292763157895		 Val RE1 dist: 604.7680777616279
             SED dist: 5.609129431652047		 Val SED dist: 5.6637388717296515

Epoch 45/1500: Training Loss: 0.057898560462639345		 Val Loss: 0.05495176204415255
             Training MAE: 0.03550427407026291		 Val MAE: 0.03856179490685463
             Algebraic dist: 23.412898905793128		 Val Algebraic dist: 23.811754803324856
             Algebraic sqr dist: 1133.298793859649	  Val Algebraic sqr dist: 1097.2807049418604
             RE1 dist: 566.6493969298245		 Val RE1 dist: 548.6403524709302
             SED dist: 5.302203262061403		 Val SED dist: 4.962262175803961

Epoch 46/1500: Training Loss: 0.06430090519419887		 Val Loss: 0.05582305442455203
             Training MAE: 0.03536257520318031		 Val MAE: 0.03715100139379501
             Algebraic dist: 25.049910338998536		 Val Algebraic dist: 23.896010287972384
             Algebraic sqr dist: 1305.9897660818713	  Val Algebraic sqr dist: 1248.3676417151162
             RE1 dist: 652.9948830409356		 Val RE1 dist: 624.1838208575581
             SED dist: 5.946471454107273		 Val SED dist: 5.075739306072856

Epoch 47/1500: Training Loss: 0.06291636528327452		 Val Loss: 0.054359569105991094
             Training MAE: 0.03537483140826225		 Val MAE: 0.037555012851953506
             Algebraic dist: 24.471591168676902		 Val Algebraic dist: 23.180756324945495
             Algebraic sqr dist: 1255.0577485380118	  Val Algebraic sqr dist: 1093.8779978197674
             RE1 dist: 627.5289199561404		 Val RE1 dist: 546.9389989098837
             SED dist: 5.810756750274122		 Val SED dist: 4.9230701535247094

Epoch 48/1500: Training Loss: 0.06362425374705889		 Val Loss: 0.05673727878304415
             Training MAE: 0.03496239706873894		 Val MAE: 0.03729064017534256
             Algebraic dist: 24.704544156615498		 Val Algebraic dist: 23.920733784520348
             Algebraic sqr dist: 1260.8934576023391	  Val Algebraic sqr dist: 1102.4309593023256
             RE1 dist: 630.4467744883041		 Val RE1 dist: 551.2154796511628
             SED dist: 5.888398109123721		 Val SED dist: 5.1678246786428055

Epoch 49/1500: Training Loss: 0.057733803464655294		 Val Loss: 0.056608815525853354
             Training MAE: 0.03530439734458923		 Val MAE: 0.036952972412109375
             Algebraic dist: 22.84014071637427		 Val Algebraic dist: 23.23652826353561
             Algebraic sqr dist: 1098.610014619883	  Val Algebraic sqr dist: 1150.715570494186
             RE1 dist: 549.3050073099415		 Val RE1 dist: 575.357785247093
             SED dist: 5.294357210572003		 Val SED dist: 5.183475228243096

Epoch 50/1500: Training Loss: 0.05733660090039348		 Val Loss: 0.05604084702425225
             Training MAE: 0.034691162407398224		 Val MAE: 0.03826715424656868
             Algebraic dist: 22.71373012609649		 Val Algebraic dist: 23.160406068313954
             Algebraic sqr dist: 1082.828399122807	  Val Algebraic sqr dist: 1150.0460574127908
             RE1 dist: 541.4141995614035		 Val RE1 dist: 575.0230287063954
             SED dist: 5.267673068576389		 Val SED dist: 5.090528976085574

Epoch 51/1500: Training Loss: 0.05926776350590221		 Val Loss: 0.06240016915077387
             Training MAE: 0.0345311313867569		 Val MAE: 0.03805558383464813
             Algebraic dist: 22.92704621253655		 Val Algebraic dist: 24.8079464934593
             Algebraic sqr dist: 1111.7056834795321	  Val Algebraic sqr dist: 1409.6889534883721
             RE1 dist: 555.8528417397661		 Val RE1 dist: 704.8444767441861
             SED dist: 5.46791442514163		 Val SED dist: 5.729896013126817

Epoch 52/1500: Training Loss: 0.05655627222786173		 Val Loss: 0.05431571672129076
             Training MAE: 0.03512260690331459		 Val MAE: 0.034762270748615265
             Algebraic dist: 22.192495602613302		 Val Algebraic dist: 22.47244475608648
             Algebraic sqr dist: 1069.5841557017543	  Val Algebraic sqr dist: 1008.4873728197674
             RE1 dist: 534.7921235380117		 Val RE1 dist: 504.2436864098837
             SED dist: 5.189348544293677		 Val SED dist: 4.97754722417787

Epoch 53/1500: Training Loss: 0.058944373102913124		 Val Loss: 0.054485969765241754
             Training MAE: 0.034030087292194366		 Val MAE: 0.037236589938402176
