
###########################################################################################################################################################

 learning rate: 0.0001, mlp_hidden_sizes: [1024, 512], jump_frames: 6, use_reconstruction_layer: True
batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], RL_TEST_NAMES: ['fe2fadf89a84e92a', 'f01e8b6f8e10fdd9', 'f1ee9dc6135e5307', 'a41df4fa06fd391b', 'bc0ebb7482f14795', '9bdd34e784c04e3a', '98ebee1c36ecec55'], dataset: Sceneflow2Kitti,
average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, part: head, get_old_path: False, computer: 1,
RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 0, trained vit: None, MAX_POOL_SIZE: 3
crop: 224 resize: 256, use conv: True pretrained: None, train_size: 0.002, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 300

train size: 32, val size: 24, test size: 1064

algebraic_truth: 0.01724189706146717		 val_algebraic_truth: 0.01761859655380249
Epoch 26/100: Training Loss: 0.061349499970674515		 Val Loss: 0.20877369244893393
             	Training MAE: 0.04011581838130951		 Val MAE: 0.04023973271250725
             	Algebraic dist: 0.15285098552703857		 Val Algebraic dist: 0.26400957504908246
             	RE1 dist: 0.022106869146227837		 Val RE1 dist: 0.08959745367368062
             	SED dist: 0.10884006321430206		 Val SED dist: 0.40415366490681964

Epoch 27/100: Training Loss: 0.04882430285215378		 Val Loss: 0.1569448709487915
             	Training MAE: 0.03808718919754028		 Val MAE: 0.04129663109779358
             	Algebraic dist: 0.13666179776191711		 Val Algebraic dist: 0.2549956440925598
             	RE1 dist: 0.016639698296785355		 Val RE1 dist: 0.06140481928984324
             	SED dist: 0.08520463109016418		 Val SED dist: 0.29940833648045856

Epoch 28/100: Training Loss: 0.04493791237473488		 Val Loss: 0.10587099194526672
             	Training MAE: 0.04191103205084801		 Val MAE: 0.04433831200003624
             	Algebraic dist: 0.12079763412475586		 Val Algebraic dist: 0.20923227071762085
             	RE1 dist: 0.015032431110739708		 Val RE1 dist: 0.03660846004883448
             	SED dist: 0.07538829743862152		 Val SED dist: 0.1950631539026896

Epoch 29/100: Training Loss: 0.051910337060689926		 Val Loss: 0.10087521870930989
             	Training MAE: 0.042551975697278976		 Val MAE: 0.03779974579811096
             	Algebraic dist: 0.13409411907196045		 Val Algebraic dist: 0.20044487714767456
             	RE1 dist: 0.01803828775882721		 Val RE1 dist: 0.03914332886536916
             	SED dist: 0.08883260935544968		 Val SED dist: 0.18952234586079916

Epoch 30/100: Training Loss: 0.05739303678274155		 Val Loss: 0.09572796026865642
             	Training MAE: 0.038559529930353165		 Val MAE: 0.04367668181657791
             	Algebraic dist: 0.1332700252532959		 Val Algebraic dist: 0.19479968150456747
             	RE1 dist: 0.021905379369854927		 Val RE1 dist: 0.03516100347042084
             	SED dist: 0.1018330305814743		 Val SED dist: 0.17535142103830972

Epoch 31/100: Training Loss: 0.0493738166987896		 Val Loss: 0.06866654256979625
             	Training MAE: 0.03969750925898552		 Val MAE: 0.040664009749889374
             	Algebraic dist: 0.12932422757148743		 Val Algebraic dist: 0.15523295601209006
             	RE1 dist: 0.017216341570019722		 Val RE1 dist: 0.024836207429567974
             	SED dist: 0.08495787531137466		 Val SED dist: 0.12358339627583821

Epoch 32/100: Training Loss: 0.0506865456700325		 Val Loss: 0.11321742335955302
             	Training MAE: 0.03840776905417442		 Val MAE: 0.04293680936098099
             	Algebraic dist: 0.12127980589866638		 Val Algebraic dist: 0.201458474000295
             	RE1 dist: 0.019582325592637062		 Val RE1 dist: 0.04372436801592509
             	SED dist: 0.08852317929267883		 Val SED dist: 0.21162017186482748

Epoch 33/100: Training Loss: 0.06541413068771362		 Val Loss: 0.14845284819602966
             	Training MAE: 0.04005425423383713		 Val MAE: 0.04253833368420601
             	Algebraic dist: 0.13588476181030273		 Val Algebraic dist: 0.22727676232655844
             	RE1 dist: 0.027494478970766068		 Val RE1 dist: 0.05910926063855489
             	SED dist: 0.11683189123868942		 Val SED dist: 0.2816476821899414

Epoch 34/100: Training Loss: 0.04269515350461006		 Val Loss: 0.15467952688535055
             	Training MAE: 0.04049474745988846		 Val MAE: 0.04166889190673828
             	Algebraic dist: 0.11460631340742111		 Val Algebraic dist: 0.256461222966512
             	RE1 dist: 0.01544224377721548		 Val RE1 dist: 0.0566958487033844
             	SED dist: 0.07137250155210495		 Val SED dist: 0.2946728666623433

Epoch 35/100: Training Loss: 0.056772854179143906		 Val Loss: 0.2738566001256307
             	Training MAE: 0.03887685760855675		 Val MAE: 0.04250884801149368
             	Algebraic dist: 0.14442624151706696		 Val Algebraic dist: 0.3855289618174235
             	RE1 dist: 0.020247217267751694		 Val RE1 dist: 0.09196263551712036
             	SED dist: 0.10073866695165634		 Val SED dist: 0.5321767330169678

Epoch 36/100: Training Loss: 0.18155527114868164		 Val Loss: 0.3610902229944865
             	Training MAE: 0.042357973754405975		 Val MAE: 0.04446965083479881
             	Algebraic dist: 0.26518750190734863		 Val Algebraic dist: 0.45209697882334393
             	RE1 dist: 0.06968327611684799		 Val RE1 dist: 0.12299307187398274
             	SED dist: 0.34836316108703613		 Val SED dist: 0.7045684655507406

Epoch 37/100: Training Loss: 0.19678661227226257		 Val Loss: 0.09713019927342732
             	Training MAE: 0.04820491373538971		 Val MAE: 0.043726492673158646
             	Algebraic dist: 0.3067879378795624		 Val Algebraic dist: 0.1936483383178711
             	RE1 dist: 0.07084386795759201		 Val RE1 dist: 0.034080887834231056
             	SED dist: 0.3745059370994568		 Val SED dist: 0.1780089537302653

Epoch 38/100: Training Loss: 0.18638688325881958		 Val Loss: 0.2518947919209798
             	Training MAE: 0.03962349519133568		 Val MAE: 0.045181866735219955
             	Algebraic dist: 0.2711465656757355		 Val Algebraic dist: 0.307206392288208
             	RE1 dist: 0.07551062107086182		 Val RE1 dist: 0.10462764898935954
             	SED dist: 0.35962456464767456		 Val SED dist: 0.48656662305196124

Epoch 39/100: Training Loss: 0.14525887370109558		 Val Loss: 0.13084283471107483
             	Training MAE: 0.0397401861846447		 Val MAE: 0.04015383869409561
             	Algebraic dist: 0.23491793870925903		 Val Algebraic dist: 0.2303862969080607
             	RE1 dist: 0.05790521577000618		 Val RE1 dist: 0.0497191846370697
             	SED dist: 0.2768840491771698		 Val SED dist: 0.24789694945017496

Epoch 40/100: Training Loss: 0.11490628123283386		 Val Loss: 0.30932952960332233
             	Training MAE: 0.04336763173341751		 Val MAE: 0.05630628019571304
             	Algebraic dist: 0.2149457037448883		 Val Algebraic dist: 0.3501451015472412
             	RE1 dist: 0.043093837797641754		 Val RE1 dist: 0.1288706660270691
             	SED dist: 0.21403154730796814		 Val SED dist: 0.5915805498758951

Epoch 41/100: Training Loss: 0.09971240162849426		 Val Loss: 0.27151431639989215
             	Training MAE: 0.06306600570678711		 Val MAE: 0.06095442548394203
             	Algebraic dist: 0.17485234141349792		 Val Algebraic dist: 0.3107796510060628
             	RE1 dist: 0.030849065631628036		 Val RE1 dist: 0.10522273182868958
             	SED dist: 0.1658802628517151		 Val SED dist: 0.5112094084421793

Epoch 42/100: Training Loss: 0.10321708023548126		 Val Loss: 0.0788014829158783
             	Training MAE: 0.05579604208469391		 Val MAE: 0.040814109146595
             	Algebraic dist: 0.1830696165561676		 Val Algebraic dist: 0.15971943736076355
             	RE1 dist: 0.03665216267108917		 Val RE1 dist: 0.029842716952164967
             	SED dist: 0.1808333396911621		 Val SED dist: 0.1440540353457133

Epoch 43/100: Training Loss: 0.09853018820285797		 Val Loss: 0.09005805850028992
             	Training MAE: 0.03933084011077881		 Val MAE: 0.04206520691514015
             	Algebraic dist: 0.20880749821662903		 Val Algebraic dist: 0.19134098291397095
             	RE1 dist: 0.034838899970054626		 Val RE1 dist: 0.029405824840068817
             	SED dist: 0.18410702049732208		 Val SED dist: 0.16412117083867392

Epoch 44/100: Training Loss: 0.10768529772758484		 Val Loss: 0.19349610805511475
             	Training MAE: 0.038644298911094666		 Val MAE: 0.039592988789081573
             	Algebraic dist: 0.19506047666072845		 Val Algebraic dist: 0.3285425504048665
             	RE1 dist: 0.04479862377047539		 Val RE1 dist: 0.06692154705524445
             	SED dist: 0.20263522863388062		 Val SED dist: 0.37386012077331543

Epoch 45/100: Training Loss: 0.09296699613332748		 Val Loss: 0.10390300552050273
             	Training MAE: 0.037913162261247635		 Val MAE: 0.0429423488676548
             	Algebraic dist: 0.1918414980173111		 Val Algebraic dist: 0.21914809942245483
             	RE1 dist: 0.03364661708474159		 Val RE1 dist: 0.035339534282684326
             	SED dist: 0.1736413538455963		 Val SED dist: 0.19111780325571695

Epoch 46/100: Training Loss: 0.12335854768753052		 Val Loss: 0.10250814755757649
             	Training MAE: 0.04236113280057907		 Val MAE: 0.04453206807374954
             	Algebraic dist: 0.22289976477622986		 Val Algebraic dist: 0.20839349428812662
             	RE1 dist: 0.04626644030213356		 Val RE1 dist: 0.03449720640977224
             	SED dist: 0.23192575573921204		 Val SED dist: 0.18783028920491537

Epoch 47/100: Training Loss: 0.12152498960494995		 Val Loss: 0.09086951613426208
             	Training MAE: 0.0367620512843132		 Val MAE: 0.037830378860235214
             	Algebraic dist: 0.22771793603897095		 Val Algebraic dist: 0.2068896691004435
             	RE1 dist: 0.04692345857620239		 Val RE1 dist: 0.03254010031620661
             	SED dist: 0.2311854511499405		 Val SED dist: 0.16952772935231528

Epoch 48/100: Training Loss: 0.10733442008495331		 Val Loss: 0.24718451499938965
             	Training MAE: 0.04139373451471329		 Val MAE: 0.04184265062212944
             	Algebraic dist: 0.20852956175804138		 Val Algebraic dist: 0.3036324977874756
             	RE1 dist: 0.03680374473333359		 Val RE1 dist: 0.1081561545530955
             	SED dist: 0.20031216740608215		 Val SED dist: 0.48026053110758465

Epoch 49/100: Training Loss: 0.0737808495759964		 Val Loss: 0.17028548320134482
             	Training MAE: 0.04259166494011879		 Val MAE: 0.04129837080836296
             	Algebraic dist: 0.16780461370944977		 Val Algebraic dist: 0.24418524901072183
             	RE1 dist: 0.0278173815459013		 Val RE1 dist: 0.07267661889394124
             	SED dist: 0.1322842389345169		 Val SED dist: 0.3264971772829692

Epoch 50/100: Training Loss: 0.06850748509168625		 Val Loss: 0.35108216603597003
             	Training MAE: 0.041486743837594986		 Val MAE: 0.04131529852747917
             	Algebraic dist: 0.14830318093299866		 Val Algebraic dist: 0.36864320437113446
             	RE1 dist: 0.025040941312909126		 Val RE1 dist: 0.15258601307868958
             	SED dist: 0.1223650872707367		 Val SED dist: 0.6880884170532227

Epoch 51/100: Training Loss: 0.1287505030632019		 Val Loss: 0.4057145118713379
             	Training MAE: 0.037570226937532425		 Val MAE: 0.04181031137704849
             	Algebraic dist: 0.22570206224918365		 Val Algebraic dist: 0.41745014985402423
             	RE1 dist: 0.05288997292518616		 Val RE1 dist: 0.17113828659057617
             	SED dist: 0.24500608444213867		 Val SED dist: 0.7962652047475179

Epoch 52/100: Training Loss: 0.2577279806137085		 Val Loss: 0.33338578542073566
             	Training MAE: 0.038169488310813904		 Val MAE: 0.03776967152953148
             	Algebraic dist: 0.3677468001842499		 Val Algebraic dist: 0.3552132844924927
